,year,artist,track,time,genre,week,rank,date
137,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,1,99,2000-08-26
454,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,2,75,2000-09-02
771,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,3,57,2000-09-09
1088,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,4,35,2000-09-16
1405,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,5,35,2000-09-23
1722,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,6,37,2000-09-30
2039,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,7,43,2000-10-07
2356,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,8,79,2000-10-14
2673,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,9,51,2000-10-21
2990,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,10,55,2000-10-28
3307,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,11,67,2000-11-04
3624,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,12,83,2000-11-11
3941,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,13,86,2000-11-18
4258,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,14,92,2000-11-25
4575,2000, Aaron Carter,Aaron's Party (Co...,3:23,R&B,15,100,2000-12-02
158,2000, Aaron Tippin,Kiss This,2:53,Country,1,74,2000-08-26
475,2000, Aaron Tippin,Kiss This,2:53,Country,2,72,2000-09-02
792,2000, Aaron Tippin,Kiss This,2:53,Country,3,66,2000-09-09
1109,2000, Aaron Tippin,Kiss This,2:53,Country,4,53,2000-09-16
1426,2000, Aaron Tippin,Kiss This,2:53,Country,5,52,2000-09-23
1743,2000, Aaron Tippin,Kiss This,2:53,Country,6,47,2000-09-30
2060,2000, Aaron Tippin,Kiss This,2:53,Country,7,47,2000-10-07
2377,2000, Aaron Tippin,Kiss This,2:53,Country,8,45,2000-10-14
2694,2000, Aaron Tippin,Kiss This,2:53,Country,9,42,2000-10-21
3011,2000, Aaron Tippin,Kiss This,2:53,Country,10,46,2000-10-28
3328,2000, Aaron Tippin,Kiss This,2:53,Country,11,51,2000-11-04
3645,2000, Aaron Tippin,Kiss This,2:53,Country,12,60,2000-11-11
3962,2000, Aaron Tippin,Kiss This,2:53,Country,13,68,2000-11-18
4279,2000, Aaron Tippin,Kiss This,2:53,Country,14,69,2000-11-25
4596,2000, Aaron Tippin,Kiss This,2:53,Country,15,78,2000-12-02
4913,2000, Aaron Tippin,Kiss This,2:53,Country,16,94,2000-12-09
5230,2000, Aaron Tippin,Kiss This,2:53,Country,17,87,2000-12-16
5547,2000, Aaron Tippin,Kiss This,2:53,Country,18,92,2000-12-23
5864,2000, Aaron Tippin,Kiss This,2:53,Country,19,97,2000-12-30
6181,2000, Aaron Tippin,Kiss This,2:53,Country,20,99,2001-01-06
142,2000, Alan Jackson,It Must Be Love,2:53,Country,1,76,2000-06-24
459,2000, Alan Jackson,It Must Be Love,2:53,Country,2,74,2000-07-01
776,2000, Alan Jackson,It Must Be Love,2:53,Country,3,68,2000-07-08
1093,2000, Alan Jackson,It Must Be Love,2:53,Country,4,63,2000-07-15
1410,2000, Alan Jackson,It Must Be Love,2:53,Country,5,57,2000-07-22
1727,2000, Alan Jackson,It Must Be Love,2:53,Country,6,49,2000-07-29
2044,2000, Alan Jackson,It Must Be Love,2:53,Country,7,44,2000-08-05
2361,2000, Alan Jackson,It Must Be Love,2:53,Country,8,39,2000-08-12
2678,2000, Alan Jackson,It Must Be Love,2:53,Country,9,39,2000-08-19
2995,2000, Alan Jackson,It Must Be Love,2:53,Country,10,38,2000-08-26
3312,2000, Alan Jackson,It Must Be Love,2:53,Country,11,37,2000-09-02
3629,2000, Alan Jackson,It Must Be Love,2:53,Country,12,37,2000-09-09
3946,2000, Alan Jackson,It Must Be Love,2:53,Country,13,40,2000-09-16
4263,2000, Alan Jackson,It Must Be Love,2:53,Country,14,47,2000-09-23
4580,2000, Alan Jackson,It Must Be Love,2:53,Country,15,62,2000-09-30
4897,2000, Alan Jackson,It Must Be Love,2:53,Country,16,64,2000-10-07
5214,2000, Alan Jackson,It Must Be Love,2:53,Country,17,75,2000-10-14
5531,2000, Alan Jackson,It Must Be Love,2:53,Country,18,80,2000-10-21
5848,2000, Alan Jackson,It Must Be Love,2:53,Country,19,84,2000-10-28
6165,2000, Alan Jackson,It Must Be Love,2:53,Country,20,89,2000-11-04
162,2000, Alan Jackson,Pop A Top,3:04,Country,1,79,1999-11-13
479,2000, Alan Jackson,Pop A Top,3:04,Country,2,73,1999-11-20
796,2000, Alan Jackson,Pop A Top,3:04,Country,3,70,1999-11-27
1113,2000, Alan Jackson,Pop A Top,3:04,Country,4,64,1999-12-04
1430,2000, Alan Jackson,Pop A Top,3:04,Country,5,63,1999-12-11
1747,2000, Alan Jackson,Pop A Top,3:04,Country,6,57,1999-12-18
2064,2000, Alan Jackson,Pop A Top,3:04,Country,7,55,1999-12-25
2381,2000, Alan Jackson,Pop A Top,3:04,Country,8,55,2000-01-01
2698,2000, Alan Jackson,Pop A Top,3:04,Country,9,63,2000-01-08
3015,2000, Alan Jackson,Pop A Top,3:04,Country,10,52,2000-01-15
3332,2000, Alan Jackson,Pop A Top,3:04,Country,11,43,2000-01-22
3649,2000, Alan Jackson,Pop A Top,3:04,Country,12,47,2000-01-29
3966,2000, Alan Jackson,Pop A Top,3:04,Country,13,55,2000-02-05
4283,2000, Alan Jackson,Pop A Top,3:04,Country,14,78,2000-02-12
4600,2000, Alan Jackson,Pop A Top,3:04,Country,15,95,2000-02-19
4917,2000, Alan Jackson,Pop A Top,3:04,Country,16,100,2000-02-26
5551,2000, Alan Jackson,Pop A Top,3:04,Country,18,100,2000-03-11
166,2000, Alan Jackson,www.memory,2:36,Country,1,75,2000-11-04
483,2000, Alan Jackson,www.memory,2:36,Country,2,59,2000-11-11
800,2000, Alan Jackson,www.memory,2:36,Country,3,59,2000-11-18
1117,2000, Alan Jackson,www.memory,2:36,Country,4,54,2000-11-25
1434,2000, Alan Jackson,www.memory,2:36,Country,5,50,2000-12-02
1751,2000, Alan Jackson,www.memory,2:36,Country,6,49,2000-12-09
2068,2000, Alan Jackson,www.memory,2:36,Country,7,47,2000-12-16
2385,2000, Alan Jackson,www.memory,2:36,Country,8,45,2000-12-23
2702,2000, Alan Jackson,www.memory,2:36,Country,9,49,2000-12-30
3019,2000, Alan Jackson,www.memory,2:36,Country,10,69,2001-01-06
3336,2000, Alan Jackson,www.memory,2:36,Country,11,63,2001-01-13
3653,2000, Alan Jackson,www.memory,2:36,Country,12,67,2001-01-20
3970,2000, Alan Jackson,www.memory,2:36,Country,13,77,2001-01-27
4287,2000, Alan Jackson,www.memory,2:36,Country,14,89,2001-02-03
4604,2000, Alan Jackson,www.memory,2:36,Country,15,99,2001-02-10
307,2000, Amel Larrieux,Get Up,4:02,R&B,1,100,2000-03-04
624,2000, Amel Larrieux,Get Up,4:02,R&B,2,97,2000-03-11
941,2000, Amel Larrieux,Get Up,4:02,R&B,3,97,2000-03-18
143,2000, Andy Griggs,She's More,3:19,Country,1,81,2000-03-11
460,2000, Andy Griggs,She's More,3:19,Country,2,76,2000-03-18
777,2000, Andy Griggs,She's More,3:19,Country,3,69,2000-03-25
1094,2000, Andy Griggs,She's More,3:19,Country,4,67,2000-04-01
1411,2000, Andy Griggs,She's More,3:19,Country,5,62,2000-04-08
1728,2000, Andy Griggs,She's More,3:19,Country,6,55,2000-04-15
2045,2000, Andy Griggs,She's More,3:19,Country,7,52,2000-04-22
2362,2000, Andy Griggs,She's More,3:19,Country,8,51,2000-04-29
2679,2000, Andy Griggs,She's More,3:19,Country,9,51,2000-05-06
2996,2000, Andy Griggs,She's More,3:19,Country,10,48,2000-05-13
3313,2000, Andy Griggs,She's More,3:19,Country,11,47,2000-05-20
3630,2000, Andy Griggs,She's More,3:19,Country,12,43,2000-05-27
3947,2000, Andy Griggs,She's More,3:19,Country,13,42,2000-06-03
4264,2000, Andy Griggs,She's More,3:19,Country,14,37,2000-06-10
4581,2000, Andy Griggs,She's More,3:19,Country,15,41,2000-06-17
4898,2000, Andy Griggs,She's More,3:19,Country,16,50,2000-06-24
5215,2000, Andy Griggs,She's More,3:19,Country,17,69,2000-07-01
5532,2000, Andy Griggs,She's More,3:19,Country,18,73,2000-07-08
5849,2000, Andy Griggs,She's More,3:19,Country,19,77,2000-07-15
6166,2000, Andy Griggs,She's More,3:19,Country,20,85,2000-07-22
196,2000, Angie Stone,No More Rain (In ...,4:42,R&B,1,86,1999-12-25
513,2000, Angie Stone,No More Rain (In ...,4:42,R&B,2,86,2000-01-01
830,2000, Angie Stone,No More Rain (In ...,4:42,R&B,3,74,2000-01-08
1147,2000, Angie Stone,No More Rain (In ...,4:42,R&B,4,66,2000-01-15
1464,2000, Angie Stone,No More Rain (In ...,4:42,R&B,5,56,2000-01-22
1781,2000, Angie Stone,No More Rain (In ...,4:42,R&B,6,60,2000-01-29
2098,2000, Angie Stone,No More Rain (In ...,4:42,R&B,7,56,2000-02-05
2415,2000, Angie Stone,No More Rain (In ...,4:42,R&B,8,60,2000-02-12
2732,2000, Angie Stone,No More Rain (In ...,4:42,R&B,9,67,2000-02-19
3049,2000, Angie Stone,No More Rain (In ...,4:42,R&B,10,69,2000-02-26
3366,2000, Angie Stone,No More Rain (In ...,4:42,R&B,11,63,2000-03-04
3683,2000, Angie Stone,No More Rain (In ...,4:42,R&B,12,73,2000-03-11
4000,2000, Angie Stone,No More Rain (In ...,4:42,R&B,13,71,2000-03-18
4317,2000, Angie Stone,No More Rain (In ...,4:42,R&B,14,81,2000-03-25
4634,2000, Angie Stone,No More Rain (In ...,4:42,R&B,15,89,2000-04-01
4951,2000, Angie Stone,No More Rain (In ...,4:42,R&B,16,98,2000-04-08
5268,2000, Angie Stone,No More Rain (In ...,4:42,R&B,17,100,2000-04-15
295,2000, Beth Hart,L.A. Song,3:47,Country,1,99,1999-11-27
612,2000, Beth Hart,L.A. Song,3:47,Country,2,100,1999-12-04
929,2000, Beth Hart,L.A. Song,3:47,Country,3,98,1999-12-11
1246,2000, Beth Hart,L.A. Song,3:47,Country,4,99,1999-12-18
1563,2000, Beth Hart,L.A. Song,3:47,Country,5,99,1999-12-25
1880,2000, Beth Hart,L.A. Song,3:47,Country,6,99,2000-01-01
2197,2000, Beth Hart,L.A. Song,3:47,Country,7,98,2000-01-08
2514,2000, Beth Hart,L.A. Song,3:47,Country,8,90,2000-01-15
2831,2000, Beth Hart,L.A. Song,3:47,Country,9,99,2000-01-22
3148,2000, Beth Hart,L.A. Song,3:47,Country,10,97,2000-01-29
3465,2000, Beth Hart,L.A. Song,3:47,Country,11,91,2000-02-05
3782,2000, Beth Hart,L.A. Song,3:47,Country,12,97,2000-02-12
148,2000, Billy Gilman,One Voice,4:07,Country,1,86,2000-06-17
465,2000, Billy Gilman,One Voice,4:07,Country,2,86,2000-06-24
782,2000, Billy Gilman,One Voice,4:07,Country,3,82,2000-07-01
1099,2000, Billy Gilman,One Voice,4:07,Country,4,72,2000-07-08
1416,2000, Billy Gilman,One Voice,4:07,Country,5,65,2000-07-15
1733,2000, Billy Gilman,One Voice,4:07,Country,6,56,2000-07-22
2050,2000, Billy Gilman,One Voice,4:07,Country,7,56,2000-07-29
2367,2000, Billy Gilman,One Voice,4:07,Country,8,55,2000-08-05
2684,2000, Billy Gilman,One Voice,4:07,Country,9,44,2000-08-12
3001,2000, Billy Gilman,One Voice,4:07,Country,10,44,2000-08-19
3318,2000, Billy Gilman,One Voice,4:07,Country,11,43,2000-08-26
3635,2000, Billy Gilman,One Voice,4:07,Country,12,38,2000-09-02
3952,2000, Billy Gilman,One Voice,4:07,Country,13,40,2000-09-09
4269,2000, Billy Gilman,One Voice,4:07,Country,14,44,2000-09-16
4586,2000, Billy Gilman,One Voice,4:07,Country,15,61,2000-09-23
4903,2000, Billy Gilman,One Voice,4:07,Country,16,77,2000-09-30
5220,2000, Billy Gilman,One Voice,4:07,Country,17,85,2000-10-07
5537,2000, Billy Gilman,One Voice,4:07,Country,18,95,2000-10-14
