,track,date.entered,date.peaked
271,No Me Dejes De Qu...,2000-06-10,2000-06-10
311,Souljas,2000-11-18,2000-11-18
312,Cherchez LaGhost,2000-08-05,2000-08-05
316,Toca's Miracle,2000-10-28,2000-10-28
531,Deck The Halls,1999-12-25,2000-01-01
626,I Know,2000-12-30,2000-12-30
627,Imagine That,2000-08-12,2000-08-19
631,Kernkraft 400,2000-09-02,2000-09-02
632,Got Beef,2000-07-01,2000-07-01
889,Tricky Tricky ,2000-01-29,2000-02-05
894,A Country Boy Can...,2000-01-01,2000-01-08
921,The Hardest Part ...,2000-09-02,2000-09-09
925,Still In My Heart,2000-03-04,2000-03-11
940,All Good?,2000-12-23,2000-12-23
941,Get Up,2000-03-04,2000-03-11
942,Spanish Guitar,2000-12-02,2000-12-02
1233,Can't Stay,2000-03-25,2000-03-25
1235,West Side Story,2000-08-05,2000-08-12
1236,Me Neither,2000-05-13,2000-05-20
1249,Love Sets You Free,2000-05-13,2000-05-20
1250,Riddle,2000-06-17,2000-06-17
1253,Pull Over,2000-09-09,2000-09-16
1264,Freakin' It,2000-02-12,2000-02-12
1317,Auld Lang Syne (T...,1999-12-25,2000-01-08
1477,Best Friend,2000-02-12,2000-02-19
1481,I Don't Wanna Kis...,2000-04-15,2000-04-22
1499,Private Emotion,2000-03-11,2000-03-18
1500,If I Am,2000-12-02,2000-12-02
1508,Left & Right,1999-12-11,2000-01-01
1511,Breathe And Stop,2000-01-22,2000-01-22
1536,Smoke Rings In Th...,2000-01-22,2000-02-05
1551,Can't Go For That,2000-09-16,2000-09-30
1557,Got It All,2000-07-15,2000-07-22
1562,Baby U Are,2000-08-19,2000-08-26
1572,Dancing Queen,2000-07-08,2000-07-29
1760,Nothing As It Seems,2000-05-13,2000-05-13
1801,Where You Are,2000-04-01,2000-04-15
1821,Do What You Gotta Do,2000-02-19,2000-03-18
1832,Sleepwalker,2000-10-28,2000-10-28
1844,A Little Gasoline,2000-12-16,2000-12-16
1858,Daddy Won't Sell ...,2000-03-04,2000-03-25
1862,Real Live Woman,2000-04-01,2000-04-29
1866,U Understand,2000-02-05,2000-02-12
1878,If You Don't Wann...,2000-03-25,2000-04-15
1881,The Quittin' Kind,2000-01-01,2000-01-22
1982,This Time Around,2000-04-22,2000-05-06
2016,Crybaby,2000-06-24,2000-06-24
2084,Dear Lie,2000-02-12,2000-03-04
2113,Pop Ya Collar,2000-11-04,2000-11-18
2148,Baby Don't Cry (K...,2000-02-26,2000-03-11
2152,"Ryde or Die, Chick",2000-03-18,2000-03-25
2188,Take That,2000-06-24,2000-07-08
2199,Do You,2000-11-11,2000-12-02
2205,Ta Da,2000-08-12,2000-09-16
2411,Anything,2000-02-26,2000-03-11
2448,As We Lay,2000-07-15,2000-08-05
2473,Another Nine Minutes,2000-04-29,2000-05-20
2481,Put Your Hand In ...,2000-01-29,2000-02-12
2485,Mr. Too Damn Good,2000-03-18,2000-04-08
2486,Stay Or Let It Go,2000-02-26,2000-03-25
2653,American Pie,2000-02-19,2000-03-04
2703,The Itch,2000-12-02,2000-12-16
2734,This Woman Needs,2000-02-05,2000-03-04
2762,Do It Again (Put ...,2000-01-15,2000-01-29
2773,Original Prankster,2000-11-25,2000-12-09
2775,"Same Script, Diff...",2000-06-17,2000-07-15
2777,I Belong To You,2000-03-25,2000-04-08
2806,Monica,2000-05-20,2000-06-17
